mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin
1	0	0	0	0.0	0	0	Tempo	4/4	1	1	0							No3.Allegromoderato	120.0	1.0		
1	0	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	0		articStaccatoBelow						
1	0	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	1		articStaccatoAbove						
1	0	1	1	0.0	1/4	1/4	Dynamic	4/4	2	1	0				f							
1	0	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	2		articStaccatoBelow						
1	0	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	3		articStaccatoBelow						
1	0	1	1	0.0	1/4	1/4	Dynamic	4/4	3	1	0				f							
1	0	1	1	0.0	1/4	1/4	Dynamic	4/4	3	1	0				f							
1	0	1	1	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	4		articStaccatoAbove						
1	0	2	2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	5		articStaccatoAbove						
1	0	1	1	0.0	1/4	1/4	Dynamic	4/4	4	1	0				f							
1	0	1	1	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	6		articStaccatoAbove						
1	0	2	2	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	7		articStaccatoAbove						
2	1	9/2	9/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	8							0	
2	1	19/4	19/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	9								
2	1	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	10		articStaccatoBelow						
2	1	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	11		articStaccatoBelow						
2	1	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	12								
2	1	4	4	0.0	0	0	Dynamic	4/4	2	1	0				p							
2	1	13/2	13/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	13							1	
2	1	27/4	27/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	14								
2	1	7	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	15		articStaccatoBelow						
2	1	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	16		articStaccatoBelow						
2	1	4	4	0.0	0	0	Dynamic	4/4	3	1	0				p							
3	2	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	17								
3	2	17/2	17/2	0.0	1/8	1/8	Dynamic	4/4	3	1	0				p							
3	2	17/2	17/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	18		articStaccatoBelow						
3	2	9	9	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	19		articStaccatoBelow						
3	2	19/2	19/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	20		articStaccatoBelow						
3	2	10	10	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	21		articStaccatoBelow						
3	2	21/2	21/2	0.0	5/8	5/8	Dynamic	4/4	4	1	0				p							
3	2	21/2	21/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	22		articStaccatoAbove						
3	2	11	11	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	23		articStaccatoAbove						
3	2	23/2	23/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	24		articStaccatoAbove						
4	3	13	13	0.0	1/4	1/4	Dynamic	4/4	1	1	0				f							
4	3	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	25		articStaccatoBelow						
4	3	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	26		articStaccatoAbove						
4	3	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	27		articStaccatoBelow						
4	3	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	28		articStaccatoBelow						
4	3	29/2	29/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	29							2	
4	3	59/4	59/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	30								
4	3	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	31		articStaccatoBelow						
4	3	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	32		articStaccatoBelow						
4	3	13	13	0.0	1/4	1/4	Dynamic	4/4	3	1	0				f							
4	3	13	13	0.0	1/4	1/4	Dynamic	4/4	3	1	0				f							
4	3	13	13	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	33		articStaccatoAbove						
4	3	14	14	0.0	1/2	1/2	Dynamic	4/4	3	1	0				p							
4	3	14	14	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	34		articStaccatoBelow						
4	3	12	12	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	35		articStaccatoAbove						
4	3	13	13	0.0	1/4	1/4	Dynamic	4/4	4	1	0				f							
4	3	13	13	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	36		articStaccatoAbove						
4	3	14	14	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	37		articStaccatoBelow						
5	4	33/2	33/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	38							3	
5	4	67/4	67/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	39								
5	4	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	40		articStaccatoAbove						
5	4	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	41		articStaccatoAbove						
5	4	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	42								
5	4	16	16	0.0	0	0	Dynamic	4/4	2	1	0				p							
5	4	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	43								
5	4	37/2	37/2	0.0	5/8	5/8	Dynamic	4/4	2	1	0				p							
5	4	37/2	37/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	44							4	
5	4	75/4	75/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	45								
5	4	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	46		articStaccatoBelow						
5	4	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	47		articStaccatoBelow						
6	5	45/2	45/2	0.0	5/8	5/8	Tempo	4/4	1	1	0							Adagio	40.0	1.0		
6	5	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	48								
6	5	22	22	0.0	1/2	1/2	Dynamic	4/4	3	1	0				p							
6	5	22	22	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	49		articStaccatoBelow						
6	5	45/2	45/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16	1/16	1	50							5	
6	5	91/4	91/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	51								
6	5	23	23	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	52		articStaccatoBelow						
6	5	47/2	47/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	53		articStaccatoBelow						
6	5	41/2	41/2	0.0	1/8	1/8	Dynamic	4/4	4	1	0				p							
6	5	41/2	41/2	0.25	1/8	1/8	Chord	4/4	4	1	1/16	1/16	1	54							6	
6	5	83/4	83/4	0.25	3/16	3/16	Chord	4/4	4	1	1/16	1/16	1	55								
6	5	21	21	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	56		articStaccatoAbove						
6	5	43/2	43/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	57		articStaccatoAbove						
6	5	22	22	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	58								
7	6	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	59							7	
7	6	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	60							7	
7	6	27	27	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	61							7	
7	6	111/4	111/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	62								
7	6	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	63							8	
7	6	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	64							8	
7	6	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	65								
7	6	24	24	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	66							9	
7	6	27	27	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	67								
7	6	25	25	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	68							10	
7	6	26	26	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	69							10	
7	6	27	27	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	70								
8	7	28	28	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	71							11	
8	7	57/2	57/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	72								
8	7	29	29	0.0	1/4	1/4	StaffText	4/4	1	1	0						"<font size=""8.2""/><i>piu vivace</i>"					
8	7	29	29	0.125	1/4	1/4	Chord	4/4	1	1	1/32	1/32	1	73							12	
8	7	233/8	233/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32	1/32	1	74							12	
8	7	117/4	117/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32	1/32	1	75							12	
8	7	235/8	235/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32	1/32	1	76							12	
8	7	59/2	59/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32	1/32	1	77							12	
8	7	237/8	237/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32	1/32	1	78							12	
8	7	119/4	119/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32	1/32	1	79							12	
8	7	239/8	239/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32	1/32	1	80							12	
8	7	30	30	0.125	1/2	1/2	Chord	4/4	1	1	1/32	1/32	1	81							12	
8	7	241/8	241/8	0.125	17/32	17/32	Chord	4/4	1	1	1/32	1/32	1	82							12	
8	7	121/4	121/4	0.125	9/16	9/16	Chord	4/4	1	1	1/32	1/32	1	83							12	
8	7	243/8	243/8	0.125	19/32	19/32	Chord	4/4	1	1	1/32	1/32	1	84							12	
8	7	61/2	61/2	0.125	5/8	5/8	Chord	4/4	1	1	1/32	1/32	1	85							12	
8	7	245/8	245/8	0.125	21/32	21/32	Chord	4/4	1	1	1/32	1/32	1	86							12	
8	7	123/4	123/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32	1/32	1	87							12	
8	7	247/8	247/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32	1/32	1	88							12	
8	7	31	31	0.125	3/4	3/4	Chord	4/4	1	1	1/32	1/32	1	89							12	
8	7	249/8	249/8	0.125	25/32	25/32	Chord	4/4	1	1	1/32	1/32	1	90							12	
8	7	125/4	125/4	0.125	13/16	13/16	Chord	4/4	1	1	1/32	1/32	1	91							12	
8	7	251/8	251/8	0.125	27/32	27/32	Chord	4/4	1	1	1/32	1/32	1	92							12	
8	7	63/2	63/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32	1/32	1	93							12	
8	7	253/8	253/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32	1/32	1	94							12	
8	7	127/4	127/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32	1/32	1	95							12	
8	7	255/8	255/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32	1/32	1	96							12	
8	7	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	97								
8	7	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	98								
8	7	28	28	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	99								
8	7	29	29	0.0	1/4	1/4	StaffText	4/4	3	1	0						"<font size=""8.2""/><i>piu vivace</i>"					
8	7	29	29	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	100								
8	7	30	30	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	101							13	
8	7	28	28	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	102							14	
8	7	29	29	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	103								
9	8	32	32	0.125	0	0	Chord	4/4	1	1	1/32	1/32	1	104							12	
9	8	257/8	257/8	0.125	1/32	1/32	Chord	4/4	1	1	1/32	1/32	1	105							12	
9	8	129/4	129/4	0.125	1/16	1/16	Chord	4/4	1	1	1/32	1/32	1	106							12	
9	8	259/8	259/8	0.125	3/32	3/32	Chord	4/4	1	1	1/32	1/32	1	107							12	
9	8	65/2	65/2	0.125	1/8	1/8	Chord	4/4	1	1	1/32	1/32	1	108							12	
9	8	261/8	261/8	0.125	5/32	5/32	Chord	4/4	1	1	1/32	1/32	1	109							12	
9	8	131/4	131/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32	1/32	1	110							12	
9	8	263/8	263/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32	1/32	1	111							12	
9	8	33	33	0.125	1/4	1/4	Chord	4/4	1	1	1/32	1/32	1	112							12	
9	8	265/8	265/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32	1/32	1	113							12	
9	8	133/4	133/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32	1/32	1	114							12	
9	8	267/8	267/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32	1/32	1	115							12	
9	8	67/2	67/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32	1/32	1	116							12	
9	8	269/8	269/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32	1/32	1	117							12	
9	8	135/4	135/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32	1/32	1	118							12	
9	8	271/8	271/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32	1/32	1	119							12	
9	8	34	34	0.125	1/2	1/2	Chord	4/4	1	1	1/32	1/32	1	120							12	
9	8	273/8	273/8	0.125	17/32	17/32	Chord	4/4	1	1	1/32	1/32	1	121							12	
9	8	137/4	137/4	0.125	9/16	9/16	Chord	4/4	1	1	1/32	1/32	1	122							12	
9	8	275/8	275/8	0.125	19/32	19/32	Chord	4/4	1	1	1/32	1/32	1	123								
9	8	69/2	69/2	0.0	5/8	5/8	StaffText	4/4	1	1	0						"<font size=""8.2""/><i>cresc.</i>"					
9	8	69/2	69/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	124							15	
9	8	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	125							16	
9	8	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	126								
9	8	69/2	69/2	0.0	5/8	5/8	StaffText	4/4	2	1	0						"<font size=""8.2""/><i>cresc.</i>"					
9	8	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	127							17	
9	8	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	128								
9	8	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	129								
9	8	32	32	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	130								
9	8	34	34	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	131								
9	8	69/2	69/2	0.0	5/8	5/8	StaffText	4/4	3	1	0						"<font size=""8.2""/><i>cresc.</i>"					
9	8	69/2	69/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	132							18	
9	8	35	35	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	133								
9	8	71/2	71/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	134							19	
9	8	69/2	69/2	0.0	5/8	5/8	StaffText	4/4	4	1	0						"<i><font size=""8.2""/>cresc.</i>"					
9	8	69/2	69/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	135							20	
9	8	35	35	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	136							20	
9	8	71/2	71/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	137							20	
10	9	36	36	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	138							21	
10	9	73/2	73/2	0.0	1/8	1/8	StaffText	4/4	1	1	0						"<font size=""8.2""/><i>rin</i>"				21	
10	9	73/2	73/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	139							21	
10	9	37	37	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	140							21	
10	9	75/2	75/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	141								
10	9	38	38	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	142							22	
10	9	77/2	77/2	0.0	5/8	5/8	Spanner	4/4	1	1	0											0
10	9	77/2	77/2	1.5	5/8	5/8	Chord	4/4	1	1	3/8	1/4	3/2	143								0
10	9	36	36	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	144								
10	9	73/2	73/2	0.0	1/8	1/8	StaffText	4/4	2	1	0						"<font size=""8.2""/><i>r</i>"					
10	9	73/2	73/2	0.0	1/8	1/8	Dynamic	4/4	2	1	0				f							
10	9	73/2	73/2	1.5	1/8	1/8	Chord	4/4	2	1	3/8	1/4	3/2	145								
10	9	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	146							23	
10	9	77/2	77/2	0.0	5/8	5/8	Spanner	4/4	2	1	0										23	1
10	9	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	147							23	1
10	9	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	148							23	1
10	9	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	149							23	1
10	9	36	36	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	150								
10	9	73/2	73/2	0.0	1/8	1/8	StaffText	4/4	3	1	0						"<font size=""8.2""/><i>r</i>"					
10	9	73/2	73/2	0.0	1/8	1/8	Dynamic	4/4	3	1	0				f							
10	9	73/2	73/2	1.5	1/8	1/8	Chord	4/4	3	1	3/8	1/4	3/2	151							24	
10	9	38	38	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	152								
10	9	77/2	77/2	0.0	5/8	5/8	Spanner	4/4	3	1	0											2
10	9	77/2	77/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	153							25	2
10	9	39	39	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	154							25	2
10	9	36	36	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	155								
10	9	73/2	73/2	0.0	1/8	1/8	StaffText	4/4	4	1	0						"<font size=""8.2""/><i>r</i>"					
10	9	73/2	73/2	0.0	1/8	1/8	Dynamic	4/4	4	1	0				f							
10	9	73/2	73/2	1.5	1/8	1/8	Chord	4/4	4	1	3/8	1/4	3/2	156							26	
10	9	38	38	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	157							27	
10	9	77/2	77/2	0.0	5/8	5/8	Spanner	4/4	4	1	0											3
10	9	77/2	77/2	1.5	5/8	5/8	Chord	4/4	4	1	3/8	1/4	3/2	158								3
11	10	40	40	0.0	0	0	Dynamic	4/4	1	1	0				p							
11	10	40	40	0.0	0	0	Spanner	4/4	1	1	0											
11	10	40	40	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	159								
11	10	40	40	0.0	0	0	Dynamic	4/4	2	1	0				p							
11	10	40	40	0.0	0	0	Spanner	4/4	2	1	0											
11	10	40	40	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	160								
11	10	81/2	81/2	0.0	1/8	1/8	StaffText	4/4	2	1	0						"<font size=""8.2""/><i>cresc.</i>"					
11	10	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	161							28	
11	10	41	41	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	162							28	
11	10	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	163							28	
11	10	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	164								
11	10	43	43	0.0	3/4	3/4	Dynamic	4/4	2	1	0				f							
11	10	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	165								
11	10	40	40	0.0	0	0	Dynamic	4/4	3	1	0				p							
11	10	40	40	0.0	0	0	Spanner	4/4	3	1	0											
11	10	40	40	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	166								
11	10	83/2	83/2	0.0	3/8	3/8	StaffText	4/4	3	1	0						"<font size=""8.2""/><i>cresc.</i>"					
11	10	83/2	83/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	167							29	
11	10	42	42	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	168							29	
11	10	85/2	85/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	169							29	
11	10	43	43	0.0	3/4	3/4	Dynamic	4/4	3	1	0				f							
11	10	43	43	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	170								
11	10	40	40	0.0	0	0	Dynamic	4/4	4	1	0				p							
11	10	40	40	0.0	0	0	Spanner	4/4	4	1	0											
11	10	40	40	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	171								
11	10	81/2	81/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	172							30	
11	10	41	41	0.0	1/4	1/4	StaffText	4/4	4	1	0						"<font size=""8.2""/><i>cresc.</i>"				30	
11	10	41	41	2.0	1/4	1/4	Chord	4/4	4	1	1/2	1/2	1	173							30	
11	10	43	43	0.0	3/4	3/4	Dynamic	4/4	4	1	0				f							
11	10	43	43	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	174								
