quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.0	1	0	0	1/2	3/4	4	1		Bb.I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
1	1.5	2	1	0	0	3/4	4	1		V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
5/2	0.5	2	1	3/8	3/8	3/4	4	1		V2/IV		Bb	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
3	0.5	2	1	1/2	1/2	3/4	4	1		IV6		Bb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
7/2	0.5	2	1	5/8	5/8	3/4	4	1		ii		Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
4	1.0	3	2	0	0	3/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	1.0	3	2	1/4	1/4	3/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
6	1.0	3	2	1/2	1/2	3/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
7	1.5	4	3	0	0	3/4	4	1		V43		Bb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
17/2	0.5	4	3	3/8	3/8	3/4	4	1		#viio65/ii		Bb	I		#viio65/ii		#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
9	0.5	4	3	1/2	1/2	3/4	4	1		ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
19/2	1.5	4	3	5/8	5/8	3/4	4	1		V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	1.5	5	4	1/4	1/4	3/4	4	1		I\\		Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
25/2	1.5	5	4	5/8	5/8	3/4	4	1		V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
14	1.5	6	5	1/4	1/4	3/4	4	1		vi7		Bb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
31/2	1.5	6	5	5/8	5/8	3/4	4	1		V43/V		Bb	I		V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
17	1.5	7	6	1/4	1/4	3/4	4	1		V7/V		Bb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
37/2	0.25	7	6	5/8	5/8	3/4	4	1		V(9+#74)		Bb	I		V(9+#74)		V			9+#74				M	0	0	1, 0, 2	3, 6	1	1
75/4	0.25	7	6	11/16	11/16	3/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
19	3.0	8	7	0	0	3/4	4	1		V\\		Bb	I		V		V						\\	M	0	0	1, 5, 2		1	1
22	1.0	9	8	0	0	3/4	4	1		V65/ii		Bb	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
23	0.5	9	8	1/4	1/4	3/4	4	1		ii		Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
47/2	0.5	9	8	3/8	3/8	3/4	4	1		V6/ii		Bb	I		V6/ii		V		6		ii			M	0	0	7, 4, 3		3	7
24	0.5	9	8	1/2	1/2	3/4	4	1		ii		Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
49/2	0.5	9	8	5/8	5/8	3/4	4	1		V2/V		Bb	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
25	0.5	10	9	0	0	3/4	4	1		V6(4)		Bb	I		V6(4)		V		6	4				M	0	0	0, 2, 1		1	0
51/2	1.0	10	9	1/8	1/8	3/4	4	1		V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
53/2	1.0	10	9	3/8	3/8	3/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
55/2	0.5	10	9	5/8	5/8	3/4	4	1		V/vi		Bb	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
28	0.5	11	10	0	0	3/4	4	1		IV		Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
57/2	0.5	11	10	1/8	1/8	3/4	4	1		#viio/ii		Bb	I		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7
29	0.5	11	10	1/4	1/4	3/4	4	1		ii(+4)		Bb	I		ii(+4)		ii			+4				m	0	0	2, -1, 3	1	2	2
59/2	0.5	11	10	3/8	3/8	3/4	4	1		#viio6/ii		Bb	I		#viio6/ii		#vii	o	6		ii			o	0	0	4, 1, 7		7	4
30	0.5	11	10	1/2	1/2	3/4	4	1		ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
61/2	1.0	11	10	5/8	5/8	3/4	4	1		viio/V		Bb	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
63/2	0.5	12	11	1/8	1/8	3/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
32	0.5	12	11	1/4	1/4	3/4	4	1		V2(9)		Bb	I		V2(9)		V		2	9				Mm7	0	0	-1, 1, 5, 2	3	1	-1
65/2	0.5	12	11	3/8	3/8	3/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
33	0.5	12	11	1/2	1/2	3/4	4	1		V65/IV		Bb	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
67/2	0.5	12	11	5/8	5/8	3/4	4	1		#viio65/ii		Bb	I		#viio65/ii		#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
34	0.5	13	12	0	0	3/4	4	1		ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
69/2	0.5	13	12	1/8	1/8	3/4	4	1		V65/V		Bb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
35	0.5	13	12	1/4	1/4	3/4	4	1		v		Bb	I		v		v							m	0	0	1, -2, 2		1	1
71/2	0.5	13	12	3/8	3/8	3/4	4	1		V43/V		Bb	I		V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
36	0.5	13	12	1/2	1/2	3/4	4	1		v6		Bb	I		v6		v		6					m	0	0	-2, 2, 1		1	-2
73/2	1.0	13	12	5/8	5/8	3/4	4	1		viio7		Bb	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
75/2	0.5	14	13	1/8	1/8	3/4	4	1		I[I64		Bb	I	I	I64		I		64					M	0	0	1, 0, 4		0	1
38	0.5	14	13	1/4	1/4	3/4	4	1		viio43		Bb	I	I	viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
77/2	0.5	14	13	3/8	3/8	3/4	4	1		I6]		Bb	I	I	I6		I		6					M	0	0	4, 1, 0		0	4
39	0.5	14	13	1/2	1/2	3/4	4	1		V43		Bb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
79/2	0.5	14	13	5/8	5/8	3/4	4	1		V65/IV		Bb	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
40	0.5	15	14	0	0	3/4	4	1		IV		Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
81/2	0.5	15	14	1/8	1/8	3/4	4	1		IV6		Bb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
41	0.5	15	14	1/4	1/4	3/4	4	1		viio2		Bb	I		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
83/2	1.5	15	14	3/8	3/8	3/4	4	1		V\\		Bb	I		V		V						\\	M	0	0	1, 5, 2		1	1
43	4.0	16	15	0	0	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
47	8.0	17	16	0	0	4/4	4	1		V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
55	3.0	19	18	0	0	4/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
58	1.0	19	18	3/4	3/4	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
59	1.0	20	19	0	0	4/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
60	2.0	20	19	1/4	1/4	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
62	0.5	20	19	3/4	3/4	4/4	4	1		viio		Bb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
125/2	0.5	20	19	7/8	7/8	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
63	3.0	21	20	0	0	3/4	4	1		V	V.I	Bb	I		V		V							M	0	0	1, 5, 2		1	1
66	1.0	22	21	0	0	3/4	4	1		V65		Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
67	0.5	22	21	1/4	1/4	3/4	4	1		viio		Bb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
135/2	0.5	22	21	3/8	3/8	3/4	4	1		iv/IV		Bb	I		iv/IV		iv				IV			m	0	0	-2, -5, -1		-2	-2
68	0.5	22	21	1/2	1/2	3/4	4	1		IV6		Bb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
137/2	0.5	22	21	5/8	5/8	3/4	4	1		iio6		Bb	I		iio6		ii	o	6					o	0	0	-1, -4, 2		2	-1
69	1.0	23	22	0	0	3/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
70	1.0	23	22	1/4	1/4	3/4	4	1		V43		Bb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
71	1.0	23	22	1/2	1/2	3/4	4	1		I[I		Bb	I	I	I		I							M	0	0	0, 4, 1		0	0
72	1.0	24	23	0	0	3/4	4	1		V65		Bb	I	I	V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
73	1.0	24	23	1/4	1/4	3/4	4	1		V2/IV		Bb	I	I	V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
74	0.5	24	23	1/2	1/2	3/4	4	1		IV6		Bb	I	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3
149/2	1.0	24	23	5/8	5/8	3/4	4	1		viio		Bb	I	I	viio		vii	o						o	0	0	5, 2, -1		5	5
151/2	0.5	25	24	1/8	1/8	3/4	4	1		I(64)		Bb	I	I	I(64)		I			64				M	0	0	0, -1, 3		0	0
76	2.0	25	24	1/4	1/4	3/4	4	1		I]		Bb	I	I	I		I							M	0	0	0, 4, 1		0	0
78	1.0	26	25	0	0	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
79	1.0	26	25	1/4	1/4	4/4	4	1		vi		Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
80	1.0	26	25	1/2	1/2	4/4	4	1		IV		Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
81	1.0	26	25	3/4	3/4	4/4	4	1		ii7		Bb	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
82	8.0	27	26	0	0	4/4	4	1		V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
90	3.0	29	28	0	0	4/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
93	0.25	29	28	3/4	3/4	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
373/4	0.25	29	28	13/16	13/16	4/4	4	1		I(64)		Bb	I		I(64)		I			64				M	0	0	0, -1, 3		0	0
187/2	0.25	29	28	7/8	7/8	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
375/4	0.25	29	28	15/16	15/16	4/4	4	1		viio		Bb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
94	0.25	30	29	0	0	4/4	4	1		I64		Bb	I		I64		I		64					M	0	0	1, 0, 4		0	1
377/4	0.25	30	29	1/16	1/16	4/4	4	1		V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
189/2	0.25	30	29	1/8	1/8	4/4	4	1		vi		Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
379/4	0.25	30	29	3/16	3/16	4/4	4	1		viio		Bb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
95	0.25	30	29	1/4	1/4	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
381/4	0.75	30	29	5/16	5/16	4/4	4	1		viio		Bb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
96	0.25	30	29	1/2	1/2	4/4	4	1		V2		Bb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
385/4	0.25	30	29	9/16	9/16	4/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
193/2	0.25	30	29	5/8	5/8	4/4	4	1		viio6		Bb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
387/4	0.25	30	29	11/16	11/16	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
97	0.5	30	29	3/4	3/4	4/4	4	1		viio		Bb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
195/2	1.5	30	29	7/8	7/8	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
99	3.0	31	30	1/4	1/4	4/4	4	1		V7/IV		Bb	I		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
102	1.0	32	31	0	0	4/4	4	1		IV[IV6		Bb	I	IV	IV6		IV		6					M	0	0	3, 0, -1		-1	3
103	1.0	32	31	1/4	1/4	4/4	4	1		vi43		Bb	I	IV	vi43		vi		43					mm7	0	0	4, 1, 3, 0		3	4
104	1.0	32	31	1/2	1/2	4/4	4	1		V65/IV		Bb	I	IV	V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
105	1.0	32	31	3/4	3/4	4/4	4	1		V64/IV]		Bb	I	IV	V64/IV		V		64		IV			M	0	0	1, 0, 4		0	1
106	4.0	33	32	0	0	4/4	4	1		V2/IV		Bb	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
110	4.0	34	33	0	0	4/4	4	1		V43/IV		Bb	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
114	3.0	35	34	0	0	4/4	4	1		V(64)		Bb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
117	3.0	35	34	3/4	3/4	4/4	4	1		#viio43/ii		Bb	I		#viio43/ii		#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
120	1.5	36	35	1/2	1/2	4/4	4	1		ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
243/2	0.5	36	35	7/8	7/8	4/4	4	1		ii		Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
122	1.0	37	36	0	0	4/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
123	0.5	37	36	1/4	1/4	4/4	4	1		V43		Bb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
247/2	0.5	37	36	3/8	3/8	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
124	0.5	37	36	1/2	1/2	4/4	4	1		V(b64)		Bb	I		V(b64)		V			b64				M	0	0	1, 0, -3		1	1
249/2	0.5	37	36	5/8	5/8	4/4	4	1		V(64)		Bb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
125	1.0	37	36	3/4	3/4	4/4	4	1		V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
126	0.5	38	37	0	0	4/4	4	1		I\\		Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
253/2	0.5	38	37	1/8	1/8	4/4	4	1		V+6		Bb	I		V+6		V	+	6					+	0	0	5, 9, 1		1	5
127	0.5	38	37	1/4	1/4	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
255/2	0.5	38	37	3/8	3/8	4/4	4	1		viio6		Bb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
128	0.5	38	37	1/2	1/2	4/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
257/2	0.5	38	37	5/8	5/8	4/4	4	1		V64/IV		Bb	I		V64/IV		V		64		IV			M	0	0	1, 0, 4		0	1
129	0.5	38	37	3/4	3/4	4/4	4	1		IV		Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
259/2	0.5	38	37	7/8	7/8	4/4	4	1		V64/IV		Bb	I		V64/IV		V		64		IV			M	0	0	1, 0, 4		0	1
130	0.5	39	38	0	0	4/4	4	1		IV6		Bb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
261/2	0.5	39	38	1/8	1/8	4/4	4	1		#viio(+4)/ii		Bb	I		#viio(+4)/ii		#vii	o		+4	ii			o	0	0	7, 4, 1	-1	7	7
131	0.5	39	38	1/4	1/4	4/4	4	1		ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
263/2	0.5	39	38	3/8	3/8	4/4	4	1		viio/V		Bb	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
132	0.5	39	38	1/2	1/2	4/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
265/2	0.5	39	38	5/8	5/8	4/4	4	1		viio6/V		Bb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
133	0.5	39	38	3/4	3/4	4/4	4	1		V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
267/2	0.5	39	38	7/8	7/8	4/4	4	1		V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
134	0.5	40	39	0	0	4/4	4	1		I\\		Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
269/2	0.5	40	39	1/8	1/8	4/4	4	1		V+6		Bb	I		V+6		V	+	6					+	0	0	5, 9, 1		1	5
135	0.5	40	39	1/4	1/4	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
271/2	0.5	40	39	3/8	3/8	4/4	4	1		viio6		Bb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
136	0.5	40	39	1/2	1/2	4/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
273/2	0.5	40	39	5/8	5/8	4/4	4	1		V65/IV		Bb	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
137	0.5	40	39	3/4	3/4	4/4	4	1		IV		Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
275/2	0.5	40	39	7/8	7/8	4/4	4	1		V64/IV		Bb	I		V64/IV		V		64		IV			M	0	0	1, 0, 4		0	1
138	0.5	41	40	0	0	4/4	4	1		IV6		Bb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
277/2	0.5	41	40	1/8	1/8	4/4	4	1		#viio6/ii		Bb	I		#viio6/ii		#vii	o	6		ii			o	0	0	4, 1, 7		7	4
139	0.5	41	40	1/4	1/4	4/4	4	1		ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
279/2	0.5	41	40	3/8	3/8	4/4	4	1		viio/V		Bb	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
140	0.5	41	40	1/2	1/2	4/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
281/2	0.5	41	40	5/8	5/8	4/4	4	1		viio6/V		Bb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
141	1.0	41	40	3/4	3/4	4/4	4	1		V65		Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
142	1.0	42	41	0	0	4/4	4	1		I\\		Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
143	1.0	42	41	1/4	1/4	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
144	2.0	42	41	1/2	1/2	4/4	4	1		V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
146	2.0	43	42	0	0	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
148	2.0	43	42	1/2	1/2	4/4	4	1		V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
150	2.5	44	43	0	0	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
305/2	1.5	44	43	5/8	5/8	4/4	4	1		vi6		Bb	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
154	0.5	45	44	0	0	4/4	4	1		vi		Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
309/2	1.5	45	44	1/8	1/8	4/4	4	1		viio6/V		Bb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
156	2.0	45	44	1/2	1/2	4/4	4	1		V7/V		Bb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
158	2.0	46	45	0	0	4/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
160	2.5	46	45	1/2	1/2	4/4	4	1		V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
325/2	3.0	47	46	1/8	1/8	4/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
331/2	0.5	47	46	7/8	7/8	4/4	4	1		V/V		Bb	I		V/V		V				V			M	0	0	2, 6, 3		2	2
166	2.0	48	47	0	0	4/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
168	2.5	48	47	1/2	1/2	4/4	4	1		V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
341/2	3.5	49	48	1/8	1/8	4/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
174	4.0	50	49	0	0	4/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
178	4.0	51	50	0	0	4/4	4	1		V65/V		Bb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
182	1.0	52	51	0	0	4/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
183	7.0	52	51	1/4	1/4	4/4	4	1		@none		Bb	I		@none		@none							m	0	0				
190	4.0	54	53	0	0	4/4	4	1		bVI.V		Bb	bVI		V		V							M	0	0	1, 5, 2		1	1
194	4.0	55	54	0	0	4/4	4	1		iii		Bb	bVI		iii		iii							m	0	0	4, 1, 5		4	4
198	2.0	56	55	0	0	4/4	4	1		I[I		Bb	bVI	I	I		I							M	0	0	0, 4, 1		0	0
200	2.0	56	55	1/2	1/2	4/4	4	1		viio7/V		Bb	bVI	I	viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
202	2.0	57	56	0	0	4/4	4	1		V		Bb	bVI	I	V		V							M	0	0	1, 5, 2		1	1
204	2.0	57	56	1/2	1/2	4/4	4	1		V64		Bb	bVI	I	V64		V		64					M	0	0	2, 1, 5		1	2
206	2.5	58	57	0	0	4/4	4	1		I6]		Bb	bVI	I	I6		I		6					M	0	0	4, 1, 0		0	4
417/2	1.5	58	57	5/8	5/8	4/4	4	1		V		Bb	bVI		V		V							M	0	0	1, 5, 2		1	1
210	4.0	59	58	0	0	4/4	4	1		iii		Bb	bVI		iii		iii							m	0	0	4, 1, 5		4	4
214	2.0	60	59	0	0	4/4	4	1		I[I		Bb	bVI	I	I		I							M	0	0	0, 4, 1		0	0
216	2.0	60	59	1/2	1/2	4/4	4	1		viio7/V		Bb	bVI	I	viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
218	1.0	61	60	0	0	4/4	4	1		viio7(4)/V		Bb	bVI	I	viio7(4)/V		vii	o	7	4	V			o7	0	0	6, 5, 0, -3		6	6
